,LGA,Average Nighttime mean,system:index,AREA,STATE,Latitude,Longitude,PERIMETER,Population,population density,clusters,cluster labels
0,Aba North,3.422659343,698,18.116,Abia,5.100754338,7.35961746,31.927,245825.278,13569.511923161846,2,medium_intensity
286,Gombe,0.152181353,248,15.194,Gombe,10.31250932,11.24010499,15.776,285470.5997,18788.37697117283,2,medium_intensity
375,Dala,6.349254606,134,24.943,Kano,11.99837759,8.462518711,24.213,483957.1804,19402.5249729383,2,medium_intensity
389,Kano Municipal,6.915155973,145,26.499,Kano,11.94045083,8.477484735,22.044,353763.9821,13350.08800709461,2,medium_intensity
406,Tarauni,11.51342767,140,23.628,Kano,11.95497908,8.528279622,25.141,295562.1899,12508.980442695107,2,medium_intensity
505,Agege,10.06471657,549,16.575,Lagos,6.640746038,3.305409927,18.782,289449.7823,17463.033622926094,2,medium_intensity
507,Alimosho,5.743507962,543,148.062,Lagos,6.598164184,3.245760198,55.194,2079944.1189,14047.791593386552,2,medium_intensity
514,Ifako-Ijaye,8.809837562,542,33.615,Lagos,6.677260018,3.303991521,28.115,297182.406,8840.767692994199,2,medium_intensity
519,Lagos Mainland,11.659153,567,22.781,Lagos,6.504245784,3.374241828,22.449,269611.8083,11834.94176287257,2,medium_intensity
520,Mushin,13.10961275,562,17.387,Lagos,6.551415191,3.3420039519999998,18.422,350625.5487,20165.96012538103,2,medium_intensity
522,Oshodi-Isolo,9.339666849,560,38.595,Lagos,6.558732161,3.304116408,28.349,557312.4779,14440.017564451357,2,medium_intensity
637,Ibadan North-East,1.657817825,469,17.724,Oyo,7.37432652,3.931288725,22.323,367239.7494,20719.913642518615,2,medium_intensity
720,Sokoto South,1.609625765,33,30.346,Sokoto,13.01870547,5.279452057,30.722,361027.999,11897.05394450669,2,medium_intensity
